run_name,model,strategy,gpus,throughput,best_val_auc,scaling_efficiency,goodput,peak_gpu_gb
attention_branch_mp_course,attention,branch_mp,2,1400.733,0.942992,0.5419,758.008,2.46
attention_branch_mp_smoke,attention,branch_mp,2,1134.379,0.573396,0.4389,302.291,0.136
attention_ddp_2gpu_course,attention,ddp,2,1979.775,0.914415,0.7659,1468.35,1.68
attention_ddp_2gpu_smoke,attention,ddp,2,616.619,0.59801,0.2386,93.153,0.101
attention_ddp_4gpu_course,attention,ddp,4,2433.248,0.883143,0.4707,1071.096,0.988
attention_ddp_zero_2gpu_course,attention,ddp_zero,2,1844.831,0.928844,0.7137,1295.122,1.622
attention_ddp_zero_2gpu_smoke,attention,ddp_zero,2,470.487,0.59801,0.182,54.232,0.097
attention_ddp_zero_4gpu_course,attention,ddp_zero,4,2048.971,0.938321,0.3963,806.953,0.903
attention_fsdp_z2_2gpu_course,attention,fsdp_z2,2,1533.83,0.925838,0.5934,892.368,1.526
attention_fsdp_z2_2gpu_smoke,attention,fsdp_z2,2,755.103,0.599451,0.2921,140.03,0.094
attention_fsdp_z2_4gpu_course,attention,fsdp_z2,4,1700.025,0.936874,0.3288,554.647,0.788
attention_fsdp_z3_2gpu_course,attention,fsdp_z3,2,1394.131,0.941599,0.5393,749.77,1.506
attention_fsdp_z3_2gpu_smoke,attention,fsdp_z3,2,310.225,0.599451,0.12,23.635,0.094
attention_fsdp_z3_4gpu_course,attention,fsdp_z3,4,1545.302,0.937718,0.2989,458.695,0.768
attention_hybrid_tp2_dp2_course,attention,hybrid_tp_dp,2,746.5,0.850579,0.2888,194.191,1.256
attention_hybrid_tp2_dp2_smoke,attention,hybrid_tp_dp,2,301.914,0.59547,0.1168,22.237,0.081
attention_single_course,attention,single,1,1292.427,0.944298,1.0,1292.427,3.008
attention_single_smoke,attention,single,1,1184.72,0.566844,0.9167,651.898,0.169
attention_smoke_ddp,attention,ddp,2,1082.519,0.598078,0.4188,287.134,0.101
attention_smoke_ddp_zero,attention,ddp_zero,2,975.499,0.598078,0.3774,233.167,0.097
attention_smoke_single,attention,single,1,833.696,0.566844,0.6451,322.823,0.169
attention_tp2_course,attention,tp,1,840.213,0.893313,0.6501,516.734,2.342
attention_tp2_smoke,attention,tp,1,276.123,0.567511,0.2136,35.454,0.136
attention_tp4_course,attention,tp,1,832.586,0.874391,0.6442,496.648,2.017
mamba_ddp_course,mamba,ddp,2,1377.7,0.955863,0.874,1202.978,2.465
mamba_single_course,mamba,single,1,788.157,0.956764,1.0,788.157,4.494
mamba_smoke_ddp,mamba,ddp,2,907.498,0.576207,0.5757,314.646,0.136
mamba_smoke_single,mamba,single,1,985.038,0.517655,1.2498,666.083,0.24
