run_name,model,strategy,mamba_backend,parameter_count,global_batch_size,per_device_batch_size,best_epoch,best_val_auc,best_val_aupr,best_val_accuracy,best_val_f1,mean_train_examples_per_sec,total_wall_time_sec,peak_gpu_gb
attention_branch_mp_course,attention,branch_mp,,15651841,64,64,25,0.9429923137512299,0.6860745298061189,0.9352,0.5702917771883289,1400.7328503908795,1836.794084410998,2.46
attention_branch_mp_smoke,attention,branch_mp,,979457,32,32,1,0.57339551410171,0.1443003328338888,0.92578125,0.0,1134.3785971838693,0.964473660918884,0.136
attention_ddp_2gpu_course,attention,ddp,,15651841,64,32,24,0.9144145027196593,0.569698944328883,0.9233,0.469204152249135,1979.7750811620656,1289.5784836839885,1.68
attention_ddp_2gpu_smoke,attention,ddp,,979457,32,16,1,0.5980096087851751,0.16745986729238177,0.908203125,0.0,616.6190389221159,1.7299224260495976,0.101
attention_ddp_4gpu_course,attention,ddp,,15651841,64,16,25,0.8831426867249479,0.48183544302668574,0.9145,0.24934152765583845,2433.2480219246863,1042.388957936084,0.988
attention_ddp_zero_2gpu_course,attention,ddp_zero,,15651841,64,32,25,0.9288439018800131,0.6336001218876394,0.9296,0.48311306901615275,1844.8313295627283,1383.0583074950846,1.622
attention_ddp_zero_2gpu_smoke,attention,ddp_zero,,979457,32,16,1,0.5980096087851751,0.16745986729238177,0.908203125,0.0,470.4871495300989,2.245172101072967,0.097
attention_ddp_zero_4gpu_course,attention,ddp_zero,,15651841,64,16,25,0.9383211723438322,0.6692381624748508,0.9333,0.5579854208084825,2048.9713427502943,1236.8635472549358,0.903
attention_fsdp_z2_2gpu_course,attention,fsdp_z2,,15651841,64,32,25,0.9258378098287224,0.6016915618894989,0.926,0.4558823529411765,1533.8299709695877,1656.8761670889799,1.526
attention_fsdp_z2_2gpu_smoke,attention,fsdp_z2,,979457,32,16,1,0.5994509265614276,0.1676463158749505,0.908203125,0.0,755.1025659599223,2.1840404940303415,0.094
attention_fsdp_z2_4gpu_course,attention,fsdp_z2,,15651841,64,16,25,0.9368741846134894,0.6579871167975353,0.9303,0.5248807089297887,1700.0248900722218,1486.2133763310267,0.788
attention_fsdp_z3_2gpu_course,attention,fsdp_z3,,15651841,64,32,20,0.9415991153619817,0.6822592621276014,0.936,0.5663956639566395,1394.131158329767,1821.4136648420244,1.506
attention_fsdp_z3_2gpu_smoke,attention,fsdp_z3,,979457,32,16,1,0.5994509265614276,0.1676463158749505,0.908203125,0.0,310.2248536312335,4.118453959003091,0.094
attention_fsdp_z3_4gpu_course,attention,fsdp_z3,,15651841,64,16,25,0.9377184776007026,0.6585016100501069,0.9306,0.5528350515463917,1545.3017778001747,1632.8784101599595,0.768
attention_hybrid_tp2_dp2_course,attention,hybrid_tp_dp,,15651841,64,32,13,0.8505790945940925,0.4104841564560476,0.91225,0.1509433962264151,746.4997774629567,3378.138655354036,1.256
attention_hybrid_tp2_dp2_smoke,attention,hybrid_tp_dp,,979457,32,16,1,0.5954701441317777,0.15901282114377896,0.908203125,0.0,301.9135847049743,4.705323303001933,0.081
attention_single_course,attention,single,,15651841,64,64,25,0.944298021266212,0.6780428144216525,0.9363,0.5733422638981915,1292.4274074044886,1985.2749388259836,3.008
attention_single_smoke,attention,single,,979457,32,32,1,0.5668443260048857,0.14197002421754612,0.92578125,0.0,1184.7195533601612,0.9276317679323256,0.169
attention_smoke_ddp,attention,ddp,,979457,32,16,1,0.5980782429649966,0.16855281312916168,0.908203125,0.0,1082.5194261598429,1.0221217649523169,0.101
attention_smoke_ddp_zero,attention,ddp_zero,,979457,32,16,1,0.5980782429649966,0.16855281312916168,0.908203125,0.0,975.4994714502874,1.126127430004999,0.097
attention_smoke_single,attention,single,,979457,32,32,1,0.5668443260048857,0.14197002421754612,0.92578125,0.0,833.6958356685009,1.2999677819898352,0.169
attention_tp2_course,attention,tp,,15651841,64,64,25,0.8933126386557917,0.48608163036374474,0.91585,0.3588571428571429,840.213242836082,3031.3005906930193,2.342
attention_tp2_smoke,attention,tp,,979457,32,32,1,0.5675105485232067,0.14212915869353354,0.92578125,0.0,276.1226522854595,3.8540764519711956,0.136
attention_tp4_course,attention,tp,,15651841,64,64,23,0.8743911185750629,0.45496796280158874,0.91355,0.32408131352619235,832.5862629351266,3053.146040296997,2.017
mamba_ddp_course,mamba,ddp,mamba_ssm,18926593,64,32,9,0.9558631531396458,0.7488319166820226,0.9436,0.6658767772511849,1377.7003535455508,1858.8444826240884,2.465
mamba_single_course,mamba,single,mamba_ssm,18926593,64,64,9,0.9567640792238943,0.7554957926043664,0.9463,0.6599113362887904,788.1568913339631,3257.708213130012,4.494
mamba_smoke_ddp,mamba,ddp,mamba_ssm,1181185,32,16,1,0.5762068176618623,0.15676273499498802,0.908203125,0.0,907.4981225178716,1.2051977799274027,0.136
mamba_smoke_single,mamba,single,mamba_ssm,1181185,32,32,1,0.5176548967355097,0.11760873667219374,0.92578125,0.0,985.0376057907204,1.1096810470335186,0.24
